gene	cytoband
XAGE5	23p11.22
CLDN5	22q11.21
C16orf89	16p13.3
RPL17	18q21.1
ZFP62	5q35.3
TSPAN8	12q21.1
ST7L	1p13.2
ZFP91	11q12.1
ISCA1	9q21.33
AC007040.11	2p13.3
ARMC3	10p12.2
OSTM1	6q21
EXOSC3	9p13.2
BORCS8-MEF2B	19p13.11
XK	23p21.1
ELOVL5	6p12.1
AL022578.1	23p11.23
DFFB	1p36.32
COG8	16q22.1
CDS2	20p12.3
MAN1A2	1p12
MIEF2	17p11.2
TP53TG3D	16p11.2
TEX45	19p13.2
TRAPPC11	4q35.1
PPDPF	20q13.33
PSMC6	14q22.1
JMJD4	1q42.13
RFESD	5q15
ERCC6L	23q13.1
DNTT	10q24.1
YEATS2	3q27.1
TIMMDC1	3q13.33
NDUFB10	16p13.3
LAIR1	19q13.42
SRRM1	1p36.11
DPF3	14q24.2
STK33	11p15.4
TFDP3	23q26.2
ATP6V1B1	2p13.3
CXCL5	4q13.3
DBX2	12q12
ERF	19q13.2
PXDNL	8q11.22
CPNE9	3p25.3
REP15	12p11.22
AC007906.1	16q12.2
NPB	17q25.3
LRRIQ3	1p31.1
MAP1LC3C	1q43
OR5C1	9q33.2
PPIAL4D	1q21.1
CYRIA	2p24.2
ALDH8A1	6q23.3
CHMP6	17q25.3
MIA2	14q21.1
RAB8A	19p13.11
CPNE2	16q13
USP43	17p13.1
MKNK2	19p13.3
TMEM86B	19q13.42
ZBTB47	3p22.1
NRG2	5q31.2
GFUS	8q24.3
MRPL2	6p21.1
RRAS	19q13.33
APCDD1L	20q13.32
PHF7	3p21.1
SENP1	12q13.11
COL8A2	1p34.3
FAM210A	18p11.21
GPR149	3q25.2
MED22	9q34.2
SMARCA1	23q25
KRTAP2-2	17q21.2
EGFR	7p11.2
COG5	7q22.3
CAPNS1	19q13.12
SELO	22q13.33
PMAIP1	18q21.32
FKRP	19q13.32
INTS6	13q14.3
CLCF1	11q13.2
RETNLB	3q13.13
NTSR1	20q13.33
MGST2	4q31.1
QSER1	11p13
CYP4V2	4q35.1
LINC02914	14q32.2
CACNG7	19q13.42
XKR7	20q11.21
FRRS1	1p21.2
TTC39A	1p32.3
PTPN6	12p13.31
DYDC2	10q23.1
ZNF566	19q13.12
MAP3K5	6q23.3
SLC35F5	2q14.1
ABHD3	18q11.2
SLC25A34	1p36.21
GIPC3	19p13.3
ATG4D	19p13.2
CRYBB3	22q11.23
ACE	17q23.3
CPT2	1p32.3
TUBA1A	12q13.12
CAPRIN1	11p13
SLC12A3	16q13
TAF9B	23q21.1
ASB3	2p16.2
EVC	4p16.2
ABCB6	2q35
TNFRSF8	1p36.22
LGALS8	1q43
CRYGN	7q36.1
PRSS2	7q34
DDX1	2p24.3
PATJ	1p31.3
RAB7B	1q32.1
CCDC198	14q22.3
GGT7	20q11.22
FAM111B	11q12.1
CHMP4B	20q11.22
PRNP	20p13
KRTAP5-10	11q13.4
SWT1	1q25.3
VIPR2	7q36.3
ARPP19	15q21.2
SEPTIN3	22q13.2
RNLS	10q23.31
CCL17	16q21
RPIA	2p11.2
NPIPA5	16p13.11
POLR2I	19q13.12
PI4KB	1q21.3
DNAJC28	21q22.11
IDO2	8p11.21
MRS2	6p22.3
LGALS12	11q12.3
CD109	6q13
GPD1	12q13.12
ASB16	17q21.31
NOS1AP	1q23.3
TRRAP	7q22.1
TRMT1L	1q25.3
IQSEC2	23p11.22
APBA3	19p13.3
CHSY1	15q26.3
LRRC75A	17p11.2
SPIDR	8q11.21
FOXP3	23p11.23
SLC25A20	3p21.31
HTR3B	11q23.2
ELMOD3	2p11.2
DOCK5	8p21.2
EEF2	19p13.3
ZNF782	9q22.33
LIFR	5p13.1
SLC41A1	1q32.1
SH3RF2	5q32
GARIN3	5q33.3
NDUFAF7	2p22.2
MYBPC1	12q23.2
INSYN1	15q24.1
POTEM	14q11.2
TEKT3	17p12
CDC42EP2	11q13.1
ASIC2	17q12
FITM2	20q13.12
IFITM2	11p15.5
RAD21L1	20p13
NBAS	2p24.3
SCG5	15q13.3
ARHGEF35	7q35
ETHE1	19q13.31
TACSTD2	1p32.1
PALM2AKAP2	9q31.3
GTPBP10	7q21.13
NAA40	11q13.1
CCKBR	11p15.4
HYAL3	3p21.31
NUB1	7q36.1
PSME2	14q12
TRIM37	17q22
DLGAP1	18p11.31
SPTAN1	9q34.11
SPARCL1	4q22.1
IFNA7	9p21.3
TMEM105	17q25.3
DOK4	16q21
YES1	18p11.32
RHOB	2p24.1
SUN1	7p22.3
MBD2	18q21.2
COCH	14q12
OR8B2	11q24.2
RPL38	17q25.1
PCDHB11	5q31.3
ZDHHC2	8p22
RP11-566K11.2	16q24.3
CD7	17q25.3
LRRIQ4	3q26.2
DSG2	18q12.1
DNAH2	17p13.1
SERPINA7	23q22.3
PSMB8	6p21.32
TMEM50A	1p36.11
MRO	18q21.2
UBLCP1	5q33.3
ARAP1	11q13.4
LRRC31	3q26.2
GAS2L2	17q12
AHCY	20q11.22
GBP5	1p22.2
RP11-6L6.2	4q31.22
PLD1	3q26.31
NETO1	18q22.3
H3C6	6p22.2
MRPL9	1q21.3
RADIL	7p22.1
TMEM158	3p21.31
KLHDC4	16q24.2
SLC9A6	23q26.3
CLEC1B	12p13.2
FOXA1	14q21.1
MT1G	16q13
METTL1	12q14.1
MUTYH	1p34.1
KNTC1	12q24.31
ANGPTL1	1q25.2
RFTN2	2q33.1
CREBZF	11q14.1
RUNX2	6p21.1
SPPL3	12q24.31
NELFA	4p16.3
GOLGA7B	10q24.2
GATA5	20q13.33
ZNF555	19p13.3
CUX2	12q24.11
FAM47C	23p21.1
SHROOM4	23p11.22
POP7	7q22.1
SCUBE2	11p15.4
TK2	16q21
PHF14	7p21.3
FDXR	17q25.1
POLR2F	22q13.1
CLCA2	1p22.3
CYSTM1	5q31.3
AICDA	12p13.31
PARS2	1p32.3
NME6	3p21.31
FMNL2	2q23.3
BDKRB2	14q32.2
TRIM9	14q22.1
RNF220	1p34.1
TBC1D9	4q31.21
CGN	1q21.3
HOGA1	10q24.2
GABRQ	23q28
TTC9	14q24.2
LRRTM2	5q31.2
HPX	11p15.4
PFN1	17p13.2
PCDHGA6	5q31.3
JAML	11q23.3
RIMBP3B	22q11.21
TRIM6	11p15.4
SEC24A	5q31.1
PRSS22	16p13.3
RPUSD2	15q15.1
SDK1	7p22.2
LCA5L	21q22.2
MCEE	2p13.3
CHN2	7p14.3
PRM1	16p13.13
PLXNA3	23q28
HPDL	1p34.1
CCKAR	4p15.2
CCDC57	17q25.3
KCNS3	2p24.2
SMIM12	1p34.3
ZNF124	1q44
NAXD	13q34
ALKBH5	17p11.2
SPINK6	5q32
SLC35G4	18p11.21
UBA52	19p13.11
U2AF1L4	19q13.12
CCDC157	22q12.2
PHF21A	11p11.2
PMEL	12q13.2
DCD	12q13.2
LCN15	9q34.3
TRIM41	5q35.3
CAPN1	11q13.1
ALDH3B1	11q13.2
ADAD1	4q27
IQCJ-SCHIP1	3q25.33
CEP19	3q29
GM2A	5q33.1
CAPSL	5p13.2
SRSF8	11q21
NDOR1	9q34.3
ZNF213	16p13.3
GCNT2	6p24.3
ZNF425	7q36.1
INTS4	11q14.1
N4BP1	16q12.1
PABPC1L	20q13.12
SYNPO2	4q26
COL9A3	20q13.33
VRK2	2p16.1
H2AZ2	7p13
KRT72	12q13.13
PRR29	17q23.3
GOT1	10q24.2
SPP2	2q37.1
DEFB105A	8p23.1
ATAD2	8q24.13
S100A7A	1q21.3
MMP16	8q21.3
LTB	6p21.33
EML3	11q12.3
ISL2	15q24.3
MTRNR2L1	17p11.2
OS9	12q14.1
RNF180	5q12.3
EDDM3A	14q11.2
ITGB3BP	1p31.3
PTPN23	3p21.31
FOXO3	6q21
RBM14-RBM4	11q13.2
ROCK1	18q11.1
DOCK6	19p13.2
TMEM160	19q13.32
TPD52L2	20q13.33
SCAF1	19q13.33
VHL	3p25.3
ANKRD34B	5q14.1
SLC25A2	5q31.3
PAGE2	23p11.21
SERPINE2	2q36.1
IDH3G	23q28
SMIM10	23q26.3
RP5-1052I5.2	1p22.3
HECTD4	12q24.13
MAN2B2	4p16.1
PPP1R15B	1q32.1
RAB5A	3p24.3
NSRP1	17q11.2
CCL8	17q12
PIAS4	19p13.3
PES1	22q12.2
NKD2	5p15.33
NGLY1	3p24.2
MUC3A	7q22.1
CD248	11q13.2
MMS19	10q24.1
PIGF	2p21
RP11-540D14.8	1q21.3
H1-10	3q21.3
GNG8	19q13.32
FNDC4	2p23.3
C2orf78	2p13.1
SNCAIP	5q23.2
MYL12A	18p11.31
FASLG	1q24.3
DEGS2	14q32.2
NLRP8	19q13.43
SEPTIN9	17q25.3
RRP36	6p21.1
OR5H2	3q11.2
IQCD	12q24.13
RP11-934B9.3	14q12
PRAM1	19p13.2
SAA2-SAA4	11p15.1
ERVFRD-1	6p24.2
ANKRD17	4q13.3
RALBP1	18p11.22
MAPK11	22q13.33
MORN1	1p36.32
KITLG	12q21.32
PKNOX1	21q22.3
AKAP10	17p11.2
PIEZO2	18p11.21
STAT1	2q32.2
OTUD6B	8q21.3
TREM1	6p21.1
AL513412.1	9p24.1
ABCC4	13q32.1
ESX1	23q22.2
CIBAR2	16q24.1
NOS3	7q36.1
PLAU	10q22.2
MS4A2	11q12.1
XCL2	1q24.2
CTSO	4q32.1
AC026248.1	8q24.21
PRCP	11q14.1
LRATD2	8q24.21
SH2B1	16p11.2
SERPINC1	1q25.1
OOEP	6q13
TTI2	8p12
TEX36	10q26.13
ITGAE	17p13.2
CDK4	12q14.1
NXPH3	17q21.33
TMEM178B	7q34
TNFAIP8L1	19p13.3
LRIG3	12q14.1
CYP2D6	22q13.2
ZNF764	16p11.2
LDHB	12p12.1
BST2	19p13.11
IGHMBP2	11q13.3
HLA-DPB1	6p21.32
IFNLR1	1p36.11
CRMP1	4p16.2
KAT8	16p11.2
LIMS1	2q12.3
SHBG	17p13.1
DEFB136	8p23.1
PHKA2	23p22.13
TSR2	23p11.22
CYP4Z1	1p33
SYCP1	1p13.2
NUDT17	1q21.1
CAD	2p23.3
EXOC8	1q42.2
CARD8	19q13.33
LRP5L	22q11.23
SPOCK1	5q31.2
SKIDA1	10p12.31
CCDC169	13q13.3
FAM124A	13q14.3
TRAF3IP2	6q21
SLCO3A1	15q26.1
TTC22	1p32.3
WDR81	17p13.3
MS4A4A	11q12.2
CETN1	18p11.32
IER5	1q25.3
IRS1	2q36.3
ZBED6	1q32.1
KBTBD12	3q21.3
ATXN7	3p14.1
KCTD2	17q25.1
CTAGE4	7q35
ARHGEF28	5q13.2
SPATC1	8q24.3
SLC7A6	16q22.1
TIAM1	21q22.11
UBTD2	5q35.1
AP1G1	16q22.2
RNF19A	8q22.2
TUB	11p15.4
FBXW9	19p13.13
EOLA2	23q28
TGIF2LX	23q21.31
MT-ATP8	N/A
RGS13	1q31.2
FBXL4	6q16.2
NUAK1	12q23.3
KIF24	9p13.3
ZNF33B	10q11.21
CAPN14	2p23.1
TMCO3	13q34
ACSM3	16p12.3
TBC1D3	17q12
TEX13B	23q22.3
CD44	11p13
TEX28	23q28
PLEKHB2	2q21.1
C2	6p21.33
PLIN4	19p13.3
U2AF1	21q22.3
IL10RA	11q23.3
C17orf97	17p13.3
SLC22A3	6q25.3
MCCC2	5q13.2
MRPL39	21q21.3
TRIM43	2q11.1
GOLGA8K	15q13.3
CFAP43	10q25.1
SRCIN1	17q12
TUBA3D	2q21.1
DENND3	8q24.3
ZNF106	15q15.1
SPG7	16q24.3
CCL1	17q12
ARF3	12q13.12
TCAP	17q12
TEX29	13q34
WNT10B	12q13.12
SLC24A1	15q22.31
DNAJB14	4q23
CFAP53	18q21.1
AP000687.1	21q22.12
WDR73	15q25.2
GGCT	7p14.3
CAVIN3	11p15.4
LIG3	17q12
WFDC10A	20q13.12
STK25	2q37.3
ANTXR2	4q21.21
MANBA	4q24
EPB41	1p35.3
IL16	15q25.1
CCER1	12q21.33
FXYD6	11q23.3
FO538757.2	1p36.33
ADRA2B	2q11.2
CXCR3	23q13.1
ERFE	2q37.3
CFAP157	9q34.11
RNF26	11q23.3
FZD5	2q33.3
FRMD4A	10p13
SLC43A1	11q12.1
MYO1G	7p13
ZNF700	19p13.2
KLRF2	12p13.31
CCNE1	19q12
TRUB1	10q25.3
EVI2A	17q11.2
GARNL3	9q33.3
ANKRD12	18p11.22
OR2G2	1q44
NR1H4	12q23.1
USP2	11q23.3
KCND2	7q31.31
XRCC6	22q13.2
RGP1	9p13.3
MAMDC2	9q21.12
CRTAP	3p22.3
ZFYVE19	15q15.1
MFSD12	19p13.3
TEDDM1	1q25.3
GTF3C3	2q33.1
SP110	2q37.1
SRGAP3	3p25.3
NLGN1	3q26.31
C7orf25	7p14.1
LENG1	19q13.42
HMCN1	1q31.1
CLEC4F	2p13.3
PSMG4	6p25.2
PGAM4	23q21.1
SETX	9q34.13
LAMC2	1q25.3
NDRG3	20q11.23
DEFA3	8p23.1
EGFL7	9q34.3
LRRFIP1	2q37.3
APOBEC1	12p13.31
COPG2	7q32.2
CD274	9p24.1
ABHD12	20p11.21
NECAB3	20q11.22
TLR10	4p14
RAD54L	1p34.1
ZNF575	19q13.31
UPB1	22q11.23
SPHKAP	2q36.3
PAGE4	23p11.23
KLHL20	1q25.1
XCL1	1q24.2
DCAF15	19p13.12
TMEM229B	14q24.1
SUV39H1	23p11.23
ADD2	2p13.3
PER3	1p36.23
GUCA1B	6p21.1
CSHL1	17q23.3
SWI5	9q34.11
ALDH1A3	15q26.3
SLC22A31	16q24.3
DCDC2	6p22.3
OBP2A	9q34.3
MUSK	9q31.3
MRGPRX3	11p15.1
TBP	6q27
CD86	3q13.33
PIAS3	1q21.1
CDCA8	1p34.3
OR2T8	1q44
IDI1	10p15.3
REXO2	11q23.2
OR2A1	7q35
POTEG	14q11.2
PRB1	12p13.2
CST11	20p11.21
NPHP1	2q13
MT1H	16q13
WDHD1	14q22.2
WNT9A	1q42.13
SAV1	14q22.1
DHX57	2p22.1
MCOLN3	1p22.3
RAPGEF6	5q31.1
NNMT	11q23.2
EIF2AK4	15q15.1
CD1E	1q23.1
FCGR2B	1q23.3
TUBA3E	2q21.1
GPATCH1	19q13.11
ENKUR	10p12.1
RP5-972B16.2	23p11.4
SPRY2	13q31.1
BIVM	13q33.1
LSG1	3q29
B3GALT4	6p21.32
LCE1D	1q21.3
MALAT1	11q13.1
MAP2K7	19p13.2
AKAP9	7q21.2
B4GALT1	9p21.1
MSANTD3-TMEFF1	9q31.1
CHMP4C	8q21.13
BMP3	4q21.21
NCMAP	1p36.11
MORN3	12q24.31
KLK2	19q13.33
ZNF679	7q11.21
SNAP25	20p12.2
IGLL5	22q11.22
CEP170	1q43
GTF2H2C	5q13.2
USP54	10q22.2
STYX	14q22.1
TAS2R39	7q34
RPS6KA3	23p22.12
ASRGL1	11q12.3
SPATS2L	2q33.1
CEP76	18p11.21
SEC61G	7p11.2
SPRR4	1q21.3
ENPP6	4q35.1
KLHL11	17q21.2
OR5L2	11q12.1
RAB36	22q11.23
OR51G2	11p15.4
DHH	12q13.12
TAF1A	1q41
KIF25	6q27
HFM1	1p22.2
TAS2R9	12p13.2
ZNF708	19p12
INTS11	1p36.33
CALR3	19p13.11
NDUFS2	1q23.3
SLC35A5	3q13.2
TF	3q22.1
HTR7	10q23.31
GTSE1	22q13.31
RASL10A	22q12.2
KLHL3	5q31.2
C3AR1	12p13.31
IFTAP	11p12
SEZ6L	22q12.1
RAB27B	18q21.2
MRPL47	3q26.33
NALCN	13q33.1
ATAD3B	1p36.33
MMP20	11q22.2
MTNR1B	11q14.3
SCNN1A	12p13.31
MLKL	16q23.1
EHD1	11q13.1
GTPBP6	23p22.33
PDCD6IP	3p22.3
AZIN2	1p35.1
ZPBP	7p12.2
SUMF1	3p26.1
ASCC3	6q16.3
JMY	5q14.1
TSPYL6	2p16.2
HDAC6	23p11.23
OR51I1	11p15.4
FERMT1	20p12.3
RPL27A	11p15.4
SCOC	4q31.1
CDX4	23q13.2
ELOVL4	6q14.1
SSX4	23p11.23
C19orf44	19p13.11
SF3B4	1q21.2
CRHR1	17q21.31
UHRF2	9p24.1
CHMP4A	14q12
RPL19	17q12
PCYOX1	2p13.3
FAM205A	9p13.3
CAGE1	6p24.3
CDKN2A	9p21.3
PGGHG	11p15.5
NDUFA12	12q22
RP11-294C11.1	15q11.2
MTRNR2L11	1q43
PASK	2q37.3
NPIPB8	16p11.2
RFPL1	22q12.2
OTUD6A	23q13.1
HOXA7	7p15.2
DCAF5	14q24.1
ZNF699	19p13.2
TCEAL1	23q22.2
ZBED4	22q13.33
ZNF366	5q13.2
RP5-874C20.8	6p22.1
SLC16A12	10q23.31
NR1H2	19q13.33
STYXL1	7q11.23
PTDSS2	11p15.5
MTR	1q43
ZFAND4	10q11.22
SLC22A18	11p15.4
DDX60	4q32.3
STAB2	12q23.3
ANKRD22	10q23.31
ARL17B	17q21.31
KCNC1	11p15.1
HUWE1	23p11.22
KLF4	9q31.2
ISG15	1p36.33
AJAP1	1p36.32
PLA2G4C	19q13.33
SIK1	21q22.3
ASF1B	19p13.12
SYT17	16p12.3
VPREB1	22q11.22
GRIN2D	19q13.33
VIP	6q25.2
PCDHA1	5q31.3
MAFF	22q13.1
CCDC18	1p22.1
LIPJ	10q23.31
TMBIM4	12q14.3
PNPLA4	23p22.31
IFNB1	9p21.3
ITGA8	10p13
ZFTA	11q13.1
FOSL1	11q13.1
WDR4	21q22.3
KIF1C	17p13.2
USP17L5	4p16.1
ADGRD1	12q24.33
UPK1A	19q13.12
H4C6	6p22.2
XAF1	17p13.1
COLQ	3p25.1
S100A3	1q21.3
SDF2	17q11.2
DDI2	1p36.21
B3GNT2	2p15
SEZ6	17q11.2
PRM3	16p13.13
ZNF526	19q13.2
LPO	17q22
GMPS	3q25.31
CHCHD1	10q22.2
HOXB7	17q21.32
MVB12B	9q33.3
CPEB1	15q25.2
AREL1	14q24.3
CHST2	3q24
ASNS	7q21.3
TRAF2	9q34.3
ABTB1	3q21.3
GRAMD2B	5q23.2
USP17L3	8p23.1
LPA	6q25.3
RNF169	11q13.4
FCRL1	1q23.1
TOR1A	9q34.11
PAH	12q23.2
ATP2A3	17p13.2
SLC4A1	17q21.31
TOR1AIP1	1q25.2
LAMC3	9q34.12
ZBTB4	17p13.1
EXTL2	1p21.2
LRRN4CL	11q12.3
RP11-624J6.2	12q13.13
NDUFAF6	8q22.1
TNS2	12q13.13
RILPL2	12q24.31
FUT9	6q16.1
ZFYVE26	14q24.1
TRIM24	7q34
EIF4H	7q11.23
RNF115	1q21.1
TPH2	12q21.1
C20orf144	20q11.22
AJ239318.1	21q11.2
GSTM4	1p13.3
GRK7	3q23
HKDC1	10q22.1
FNIP2	4q32.1
SHROOM2	23p22.2
ABCD1	23q28
MCM3	6p12.2
FBXO42	1p36.13
IQCF1	3p21.2
FRRS1L	9q31.3
OAF	11q23.3
MTRNR2L4	16p13.3
RNF215	22q12.2
FBXO30	6q24.3
C8orf44	8q13.1
UCK2	1q24.1
FXYD6-FXYD2	11q23.3
SUCLG2	3p14.1
SLC46A2	9q32
EXOSC1	10q24.1
MAPKBP1	15q15.1
VN1R4	19q13.42
SRSF6	20q13.11
DOK7	4p16.3
FBXO44	1p36.22
NTAN1	16p13.11
H2BC12L	21q22.3
SLN	11q22.3
FCGR2A	1q23.3
GRHL3	1p36.11
CWF19L2	11q22.3
ADPGK	15q24.1
RP13-210D15.9	23q26.3
SERTAD4	1q32.2
CRACD	4q12
H3C10	6p22.1
FGF11	17p13.1
EDN3	20q13.32
NQO2	6p25.2
LYPD1	2q21.2
FOXD1	5q13.2
HBEGF	5q31.3
FHAD1	1p36.21
SAMM50	22q13.31
NPY1R	4q32.2
PSEN1	14q24.2
UCN3	10p15.1
CLEC16A	16p13.13
SPDYE2B	7q22.1
BICRA	19q13.33
GVQW1	9p21.1
DHX30	3p21.31
DNASE1L2	16p13.3
ZIC3	23q26.3
RP3-454G6.2	1q24.3
ABC7-42404400C24.1	10q11.22
DNAJC24	11p13
APOBEC3F	22q13.1
DAGLB	7p22.1
C6orf120	6q27
ZNF785	16p11.2
CTC-281F24.5	17p13.1
ATP9B	18q23
GEMIN4	17p13.3
ANKRD28	3p25.1
MLLT3	9p21.3
DACT1	14q23.1
SPAG8	9p13.3
COL6A6	3q22.1
TUBA8	22q11.21
VPS28	8q24.3
RSU1	10p13
FIBCD1	9q34.12
GPR17	2q14.3
UBP1	3p22.3
GLO1	6p21.2
FBXO3	11p13
CEP57	11q21
HNRNPC	14q11.2
KANSL1L	2q34
NES	1q23.1
LDAH	2p24.1
CES4A	16q22.1
HMGCS2	1p12
CAPS	19p13.3
CCDC107	9p13.3
LAMP2	23q24
HMSD	18q22.1
HTR2B	2q37.1
CLCN5	23p11.23
ZNF595	4p16.3
ZNF706	8q22.3
MTMR1	23q28
EHF	11p13
MFSD4B	6q21
WASHC5	8q24.13
SLC22A18AS	11p15.4
CAMK2B	7p13
ESYT1	12q13.2
OR1C1	1q44
SET	9q34.11
TEAD2	19q13.33
CLN6	15q23
CYCS	7p15.3
SOCS5	2p21
MND1	4q31.3
LMO2	11p13
ZNF84	12q24.33
AC243945.1	14q11.2
WFDC8	20q13.12
HSF5	17q22
RSPH1	21q22.3
RAB29	1q32.1
H2BC14	6p22.1
PEAK3	19p13.3
C12orf73	12q23.3
PFN4	2p23.3
B4GALNT4	11p15.5
CAMP	3p21.31
EDNRB	13q22.3
CLDN19	1p34.2
ANO3	11p14.2
CEP120	5q23.2
ALPI	2q37.1
CLCNKB	1p36.13
UBALD2	17q25.1
C11orf16	11p15.4
SRD5A3	4q12
BRICD5	16p13.3
PIH1D2	11q23.1
IARS1	9q22.31
TRIM49C	11q14.3
SHKBP1	19q13.2
DTD1	20p11.23
GOSR2	17q21.32
H3C3	6p22.2
CD81	11p15.5
LY6G6C	6p21.33
TRIM74	7q11.23
MMD2	7p22.1
TOLLIP	11p15.5
H2AC21	1q21.2
GFPT2	5q35.3
DHRS11	17q12
FOSB	19q13.32
SEMA3C	7q21.11
NUDCD1	8q23.1
VRK3	19q13.33
SEC62	3q26.2
NELFCD	20q13.32
FLNA	23q28
SNRNP200	2q11.2
TIE1	1p34.2
CACNA1B	9q34.3
NDUFAF1	15q15.1
NPPA	1p36.22
ATOX1	5q33.1
PIEZO1	16q24.3
TMEM63B	6p21.1
ELF5	11p13
SINHCAF	12p11.21
IL23R	1p31.3
CYP3A7-CYP3A51P	7q22.1
PLA2G1B	12q24.31
TNNI1	1q32.1
GABRB2	5q34
PAN3	13q12.2
TSPAN16	19p13.2
NOX3	6q25.3
BTN2A2	6p22.2
USP14	18p11.32
H2BC4	6p22.2
LYL1	19p13.13
RFT1	3p21.1
NDST3	4q26
CHD6	20q12
HYI	1p34.2
KAT2A	17q21.2
PCDH17	13q21.1
GNE	9p13.3
PDE3B	11p15.2
NEFM	8p21.2
CDH6	5p13.3
IGFBP1	7p12.3
GALT	9p13.3
TMEM204	16p13.3
RNF11	1p32.3
AKAP8	19p13.12
SUN2	22q13.1
FGFR4	5q35.2
MAB21L4	2q37.3
HDAC11	3p25.1
EPCAM	2p21
USP17L24	4p16.1
NPAS1	19q13.32
SYT3	19q13.33
FAM104B	23p11.21
H2BC12	6p22.1
PGAM1	10q24.1
SLC13A2	17q11.2
INCA1	17p13.2
MBNL1	3q25.2
CYP2U1	4q25
ARFGAP2	11p11.2
ERLIN2	8p11.23
ROS1	6q22.1
NOVA2	19q13.32
NAA15	4q31.1
TOGARAM2	2p23.2
ZSWIM2	2q32.1
PEX11G	19p13.2
GMIP	19p13.11
GPR146	7p22.3
GALNT10	5q33.2
IBSP	4q22.1
RP11-315D16.2	15q23
USF2	19q13.12
MDC1	6p21.33
DHCR24	1p32.3
SAC3D1	11q13.1
PRAMEF19	1p36.21
EPPIN	20q13.12
SIRPA	20p13
AWAT2	23q13.1
HPSE	4q21.23
CHL1	3p26.3
MAG	19q13.12
FGG	4q32.1
H1-7	12q13.11
MS4A4E	11q12.2
OR10G8	11q24.2
KCNU1	8p11.23
KRT15	17q21.2
SLC25A28	10q24.2
GPX1	3p21.31
CD27	12p13.31
FAM227B	15q21.2
SLC12A8	3q21.2
MAGEA10	23q28
PRTN3	19p13.3
ADAM33	20p13
FOXF1	16q24.1
CX3CR1	3p22.2
TEX49	12q13.12
SCO2	22q13.33
SYT12	11q13.2
GCSH	16q23.2
ACTR3B	7q36.2
NONO	23q13.1
MCHR2	6q16.2
MRGPRX1	11p15.1
KRTAP4-12	17q21.2
ZC3HAV1L	7q34
EFEMP1	2p16.1
GPR63	6q16.1
CISD1	10q21.1
ACTB	7p22.1
NR2F6	19p13.11
SPATA31A6	9p11.2
LZTS2	10q24.31
NELFE	6p21.33
TAS2R13	12p13.2
GBP4	1p22.2
ESPL1	12q13.13
MSANTD4	11q22.3
CYBC1	17q25.3
R3HDM2	12q13.3
RRM2B	8q22.3
DLK1	14q32.2
ZNF775	7q36.1
BMP8B	1p34.2
SLC35E3	12q15
AK7	14q32.2
FANCI	15q26.1
GLA	23q22.1
PKM	15q23
AGMAT	1p36.21
DYNC1I2	2q31.1
DHX40	17q23.1
CCL21	9p13.3
SEC14L2	22q12.2
PODXL2	3q21.3
ODAPH	4q21.1
GRID2	4q22.2
NAA16	13q14.11
RP11-545J16.1	12p12.2
NTMT2	1q24.2
RBMS3	3p24.1
CGRRF1	14q22.2
GJA8	1q21.2
FSTL3	19p13.3
ZC2HC1B	6q24.2
MPST	22q12.3
VAC14	16q22.1
CKLF	16q21
UBE2L3	22q11.21
CIART	1q21.2
OSER1	20q13.12
CBY1	22q13.1
PAG1	8q21.13
AL357140.1	1p36.22
C6orf89	6p21.2
MYCT1	6q25.2
GLE1	9q34.11
H2AC15	6p22.1
TUSC3	8p22
ZDHHC20	13q12.11
ZNF512	2p23.3
RPGRIP1	14q11.2
ZNF713	7p11.2
PEX2	8q21.13
PANK1	10q23.31
CIT	12q24.23
NANOS2	19q13.32
TMOD4	1q21.3
NRCAM	7q31.1
NPDC1	9q34.3
ZNF383	19q13.12
CTC-479C5.6	16q22.1
EBF4	20p13
MYH3	17p13.1
RPS4X	23q13.1
C12orf76	12q24.11
PDK2	17q21.33
MTRFR	12q24.31
AMY1A	1p21.1
TMEM35B	1p34.3
ANG	14q11.2
ULK3	15q24.1
FAM183A	1p34.2
PRKAG3	2q35
MAGEB17	23p22.2
ST6GAL2	2q12.3
KNDC1	10q26.3
PKIB	6q22.31
INA	10q24.33
ARMCX5	23q22.1
CHRNA7	15q13.3
CAMKMT	2p21
AC006994.3	2q34
RP11-546B8.6	5q35.1
BCL7A	12q24.31
CTD-2140B24.4	12q24.33
YOD1	1q32.1
KLC1	14q32.33
NLRC3	16p13.3
PDIA2	16p13.3
IL22RA1	1p36.11
HAPLN1	5q14.3
OR8J1	11q12.1
SLFN5	17q12
SPINDOC	11q13.1
CDC14A	1p21.2
ATPAF1	1p33
AVIL	12q14.1
IRX2	5p15.33
NPFF	12q13.13
CCDC85C	14q32.2
TRPC6	11q22.1
TERB2	15q21.1
C11orf1	11q23.1
DOLPP1	9q34.11
GABPB1	15q21.2
GPR32	19q13.33
FAM217B	20q13.33
FBXL17	5q21.3
OLFML3	1p13.2
LIMS2	2q14.3
MAP10	1q42.2
VPS51	11q13.1
USP5	12p13.31
AC092718.1	16q23.2
OR1F1	16p13.3
AL109923.1	20q11.22
RPAP3	12q13.11
OR6C65	12q13.2
DCLK2	4q31.23
PAPOLG	2p16.1
MESP2	15q26.1
AMFR	16q13
KRT24	17q21.2
SLC35G6	17p13.1
PLEKHS1	10q25.3
ZNF233	19q13.31
ASH1L	1q22
GLIS3	9p24.2
PAGE2B	23p11.21
